student_id,gender,age,math_score,reading_score,writing_score,attendance_rate,study_hours_per_week,parental_education,internet_access,lunch,test_preparation_course,average_score
1568.0,female,16.0,92.0,28.0,62.0,89.95,29.7,high school,,free/reduced,completed,60.666666666666664
1415.0,female,20.0,88.0,93.0,11.0,67.78,11.9,,yes,free/reduced,completed,64.0
11294.0,male,18.0,88.0,39.0,29.0,75.41,12.4,high school,yes,standard,completed,52.0
,female,18.0,99.0,74.0,26.0,81.36,,master,yes,standard,completed,66.33333333333333
10835.0,,21.0,99.0,11.0,99.0,85.22,0.5,,,standard,none,69.66666666666667
11392.0,female,,46.0,77.0,,81.23,13.1,master,,,none,59.0
9286.0,male,20.0,51.0,26.0,66.0,94.81,17.1,,yes,,completed,47.666666666666664
8470.0,male,15.0,70.0,38.0,78.0,51.85,30.7,phd,no,,none,62.0
,female,,4.0,60.0,61.0,89.33,,phd,yes,standard,,
1263.0,male,20.0,13.0,11.0,,96.89,24.9,,no,free/reduced,none,9.666666666666666
5154.0,male,15.0,59.0,,15.0,94.73,18.4,high school,yes,standard,completed,26.666666666666668
2371.0,female,19.0,72.0,48.0,12.0,83.74,0.6,master,no,free/reduced,none,44.0
9206.0,male,16.0,84.0,93.0,,59.86,7.6,,yes,free/reduced,completed,73.0
8056.0,male,,16.0,96.0,44.0,77.72,6.3,bachelor,no,standard,,52.0
8347.0,,19.0,,97.0,,99.5,21.8,,,free/reduced,completed,71.33333333333333
33.0,,16.0,30.0,31.0,,55.82,13.5,phd,no,free/reduced,none,
4650.0,female,,19.0,6.0,93.0,76.65,39.1,,yes,standard,completed,
10037.0,male,,93.0,3.0,,92.62,17.6,phd,,free/reduced,completed,56.333333333333336
7374.0,female,17.0,,58.0,32.0,91.17,14.3,high school,yes,standard,completed,34.0
4696.0,male,,38.0,47.0,73.0,87.38,,high school,,free/reduced,completed,
10288.0,male,19.0,58.0,72.0,95.0,62.99,2.3,bachelor,,standard,none,75.0
,male,15.0,,,55.0,78.91,6.0,high school,,standard,none,50.0
11084.0,female,15.0,47.0,86.0,97.0,100.0,38.2,bachelor,,,none,76.66666666666667
9836.0,female,15.0,77.0,23.0,41.0,85.63,20.0,high school,,standard,completed,
9007.0,female,15.0,2.0,,78.0,90.2,12.5,,no,free/reduced,,
11231.0,female,15.0,82.0,9.0,24.0,75.75,19.3,high school,,,none,38.333333333333336
2203.0,male,18.0,16.0,51.0,,81.01,4.3,,yes,standard,completed,46.333333333333336
1321.0,female,,,10.0,75.0,95.89,1.6,bachelor,yes,free/reduced,none,28.666666666666668
1742.0,female,17.0,17.0,38.0,,61.86,,,yes,,none,44.0
11592.0,male,15.0,19.0,,37.0,71.1,8.6,phd,,free/reduced,none,32.0
10773.0,female,16.0,36.0,42.0,17.0,96.03,10.6,high school,yes,standard,none,31.666666666666668
5914.0,male,15.0,62.0,50.0,43.0,94.31,1.0,master,no,standard,none,
6484.0,male,18.0,65.0,91.0,82.0,68.36,12.1,master,yes,standard,completed,79.33333333333333
9912.0,male,16.0,18.0,57.0,,76.7,30.2,high school,no,standard,completed,32.666666666666664
9551.0,female,21.0,,33.0,45.0,96.57,16.8,,,standard,completed,35.0
,male,21.0,38.0,81.0,13.0,98.9,24.0,bachelor,no,free/reduced,,44.0
6879.0,female,16.0,2.0,78.0,94.0,60.41,38.6,,,standard,,58.0
,female,17.0,2.0,11.0,60.0,99.07,4.3,,,standard,none,24.333333333333332
7696.0,male,21.0,66.0,49.0,85.0,66.36,39.3,,no,free/reduced,none,66.66666666666667
6323.0,male,,88.0,27.0,48.0,,36.0,high school,yes,,,54.333333333333336
6181.0,female,21.0,97.0,,,72.97,15.7,high school,,standard,,63.0
10716.0,male,19.0,,46.0,31.0,66.53,2.0,,,standard,none,57.0
570.0,,16.0,29.0,49.0,37.0,58.16,,bachelor,yes,standard,,38.333333333333336
8044.0,female,15.0,93.0,4.0,13.0,77.29,11.9,,,standard,none,36.666666666666664
10785.0,,21.0,96.0,15.0,12.0,55.49,,master,yes,free/reduced,none,41.0
3725.0,male,18.0,41.0,96.0,40.0,78.92,,,yes,free/reduced,completed,59.0
6724.0,,21.0,83.0,4.0,79.0,99.68,5.9,,,standard,none,55.333333333333336
585.0,,20.0,60.0,84.0,83.0,,11.0,master,,free/reduced,completed,75.66666666666667
4083.0,male,20.0,17.0,39.0,48.0,62.49,23.2,,,standard,completed,34.666666666666664
4889.0,male,15.0,53.0,71.0,15.0,76.19,32.7,high school,yes,standard,completed,46.333333333333336
113.0,female,16.0,58.0,75.0,17.0,81.26,,high school,,free/reduced,none,50.0
11372.0,female,17.0,70.0,42.0,1.0,92.6,12.2,master,yes,free/reduced,none,37.666666666666664
9396.0,male,16.0,9.0,0.0,57.0,76.94,25.6,phd,yes,,completed,22.0
5643.0,female,17.0,43.0,30.0,22.0,63.96,,bachelor,yes,free/reduced,completed,31.666666666666668
10944.0,male,16.0,16.0,4.0,57.0,94.54,27.4,master,yes,standard,completed,25.666666666666668
6887.0,male,18.0,54.0,100.0,31.0,94.47,32.5,,,standard,,61.666666666666664
8666.0,female,18.0,53.0,24.0,6.0,68.8,10.4,bachelor,no,standard,none,
8431.0,male,21.0,94.0,89.0,74.0,99.0,16.6,phd,yes,standard,completed,85.66666666666667
6608.0,male,17.0,70.0,72.0,53.0,75.23,39.0,,yes,standard,none,65.0
1148.0,female,19.0,0.0,90.0,53.0,98.53,11.0,,,free/reduced,none,47.666666666666664
,male,21.0,33.0,14.0,18.0,50.35,2.8,,,standard,completed,21.666666666666668
11647.0,female,15.0,66.0,,4.0,87.36,22.4,,no,standard,completed,54.0
